OPR_DT,Hour,Trading Hub,Renewable Type,Generation,Market
2017-10-19,18,SP15,Solar,1125.04,DAM
2017-10-19,19,SP15,Solar,33.92,DAM
2017-10-19,20,SP15,Solar,0.0,DAM
2017-10-19,21,SP15,Solar,0.0,DAM
2017-10-19,22,SP15,Solar,0.0,DAM
2017-10-19,23,SP15,Solar,0.0,DAM
2017-10-19,24,SP15,Solar,0.0,DAM
2017-10-20,1,SP15,Solar,0.0,DAM
2017-10-20,2,SP15,Solar,0.0,DAM
2017-10-20,3,SP15,Solar,0.0,DAM
2017-10-20,4,SP15,Solar,0.0,DAM
2017-10-20,5,SP15,Solar,0.0,DAM
2017-10-20,6,SP15,Solar,0.0,DAM
2017-10-20,7,SP15,Solar,2.95,DAM
2017-10-20,8,SP15,Solar,675.1,DAM
2017-10-20,9,SP15,Solar,3000.36,DAM
2017-10-20,10,SP15,Solar,4638.12,DAM
2017-10-20,11,SP15,Solar,5388.39,DAM
2017-10-20,12,SP15,Solar,5737.89,DAM
2017-10-20,13,SP15,Solar,5800.24,DAM
2017-10-20,14,SP15,Solar,5848.0,DAM
2017-10-20,15,SP15,Solar,5694.54,DAM
2017-10-20,16,SP15,Solar,5255.29,DAM
2017-10-20,17,SP15,Solar,3847.62,DAM
2017-10-20,18,SP15,Solar,1049.28,DAM
2017-10-20,19,SP15,Solar,16.78,DAM
2017-10-20,20,SP15,Solar,0.0,DAM
2017-10-20,21,SP15,Solar,0.0,DAM
2017-10-20,22,SP15,Solar,0.0,DAM
2017-10-20,23,SP15,Solar,0.0,DAM
2017-10-20,24,SP15,Solar,0.0,DAM
2017-10-21,1,SP15,Solar,0.0,DAM
2017-10-21,2,SP15,Solar,0.0,DAM
2017-10-21,3,SP15,Solar,0.0,DAM
2017-10-21,4,SP15,Solar,0.0,DAM
2017-10-21,5,SP15,Solar,0.0,DAM
2017-10-21,6,SP15,Solar,0.0,DAM
2017-10-21,7,SP15,Solar,2.46,DAM
2017-10-21,8,SP15,Solar,682.35,DAM
2017-10-21,9,SP15,Solar,3242.71,DAM
2017-10-21,10,SP15,Solar,5102.84,DAM
2017-10-21,11,SP15,Solar,5811.84,DAM
2017-10-21,12,SP15,Solar,5886.18,DAM
2017-10-21,13,SP15,Solar,5882.08,DAM
2017-10-21,14,SP15,Solar,5929.59,DAM
2017-10-21,15,SP15,Solar,5781.62,DAM
2017-10-21,16,SP15,Solar,5300.48,DAM
2017-10-21,17,SP15,Solar,3863.11,DAM
2017-10-21,18,SP15,Solar,984.78,DAM
2017-10-21,19,SP15,Solar,6.39,DAM
2017-10-21,20,SP15,Solar,0.0,DAM
2017-10-21,21,SP15,Solar,0.0,DAM
2017-10-21,22,SP15,Solar,0.0,DAM
2017-10-21,23,SP15,Solar,0.0,DAM
2017-10-21,24,SP15,Solar,0.0,DAM
