,LI_chr,LI_dis,LI_soc,LI_previous
841,0,0,0,0
842,0,0,0,0
843,0,0,0,0
844,0,0,0,0
845,0,0,0,0
846,0,0,0,0
847,0,0,0,0
848,0,0,0,0
849,0,0,0,0
850,50,0,0,0
851,50,0,42.5,-1
852,50,0,85,-1
853,50,0,127.5,-1
854,35.29411765,0,170,-1
855,0,0,200,-0.705882353
856,0,0,200,0
857,0,50,200,0
858,0,50,150,1
859,0,50,100,1
860,0,50,50,1
861,0,0,0,1
862,0,0,0,0
863,0,0,0,0
864,26.47058824,0,0,0
865,0,0,22.5,-0.529411765
866,50,0,22.5,0
867,50,0,65,-1
868,50,0,107.5,-1
869,0,0,150,-1
870,0,50,150,0
871,0,50,100,1
872,0,50,50,1
873,0,0,0,1
874,0,0,0,0
875,50,0,0,0
876,50,0,42.5,-1
877,50,0,85,-1
878,50,0,127.5,-1
879,35.29411765,0,170,-1
880,0,0,200,-0.705882353
881,0,50,200,0
882,0,50,150,1
883,0,50,100,1
884,0,50,50,1
885,0,0,0,1
886,0,0,0,0
887,0,0,0,0
888,50,0,0,0
889,0,0,42.5,-1
890,0,0,42.5,0
891,50,0,42.5,0
892,50,0,85,-1
893,26.47058824,0,127.5,-1
894,0,50,150,-0.529411765
895,0,50,100,1
896,0,50,50,1
897,0,0,0,1
898,0,0,0,0
899,35.29411765,0,0,0
900,50,0,30,-0.705882353
901,50,0,72.5,-1
902,50,0,115,-1
903,50,0,157.5,-1
904,0,0,200,-1
905,0,0,200,0
906,0,50,200,0
907,0,50,150,1
908,0,50,100,1
909,0,50,50,1
910,0,0,0,1
911,0,0,0,0
912,0,0,0,0
913,0,0,0,0
914,50,0,0,0
915,50,0,42.5,-1
916,50,0,85,-1
917,26.47058824,0,127.5,-1
918,0,50,150,-0.529411765
919,0,50,100,1
920,0,50,50,1
921,0,0,0,1
922,35.29411765,0,0,0
923,50,0,30,-0.705882353
924,50,0,72.5,-1
925,50,0,115,-1
926,50,0,157.5,-1
927,0,0,200,-1
928,0,0,200,0
929,0,50,200,0
930,0,50,150,1
931,0,50,100,1
932,0,50,50,1
933,0,0,0,1
934,0,0,0,0
935,0,0,0,0
936,0,0,0,0
937,26.47058824,0,0,0
938,50,0,22.5,-0.529411765
939,50,0,65,-1
940,50,0,107.5,-1
941,0,0,150,-1
942,0,50,150,0
943,0,50,100,1
944,0,50,50,1
945,0,0,0,1
946,0,0,0,0
947,35.29411765,0,0,0
